cond_no,cons,eng,pos,syl,vow,place,manner,context,lex,ph,asp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,participant,
45,l,complex,agg,cvlc,ʏ,coronal,lateral,cc,duld,tʏlt,no,0,51,51,28,space,4.12074995041,,,2016_Jun_21_1140,None,icelandic,jr06,
45,l,complex,agg,cvlc,ʏ,coronal,lateral,cc,duld,tʏlt,no,0,51,51,28,space,2.41988301277,,,2016_Jun_21_1140,None,icelandic,jr06,
45,l,complex,agg,cvlc,ʏ,coronal,lateral,cc,duld,tʏlt,no,0,51,51,28,space,2.08716702461,,,2016_Jun_21_1140,None,icelandic,jr06,
30,m,comb,n,cvnc,a,labial,nasal,cc,kamb,kʰamp,no,0,52,52,21,space,3.45371198654,,,2016_Jun_21_1140,None,icelandic,jr06,
30,m,comb,n,cvnc,a,labial,nasal,cc,kamb,kʰamp,no,0,52,52,21,space,2.28633189201,,,2016_Jun_21_1140,None,icelandic,jr06,
30,m,comb,n,cvnc,a,labial,nasal,cc,kamb,kʰamp,no,0,52,52,21,space,2.48665690422,,,2016_Jun_21_1140,None,icelandic,jr06,
26,kk,barrel,n,cvccv,a,velar,stop,ccv,kagga,kʰakka,no,0,53,53,33,space,6.53857088089,,,2016_Jun_21_1140,None,icelandic,jr06,
26,kk,barrel,n,cvccv,a,velar,stop,ccv,kagga,kʰakka,no,0,53,53,33,space,2.38636088371,,,2016_Jun_21_1140,None,icelandic,jr06,
26,kk,barrel,n,cvccv,a,velar,stop,ccv,kagga,kʰakka,no,0,53,53,33,space,3.03673505783,,,2016_Jun_21_1140,None,icelandic,jr06,
41,n̥,want,v,cvccv,a,coronal,nasal,ccv,vanta,van̥ta,yes,0,54,54,42,space,3.80393099785,,,2016_Jun_21_1140,None,icelandic,jr06,
41,n̥,want,v,cvccv,a,coronal,nasal,ccv,vanta,van̥ta,yes,0,54,54,42,space,2.28645706177,,,2016_Jun_21_1140,None,icelandic,jr06,
41,n̥,want,v,cvccv,a,coronal,nasal,ccv,vanta,van̥ta,yes,0,54,54,42,space,2.08625912666,,,2016_Jun_21_1140,None,icelandic,jr06,
39,n̥,decoration,n,cvncv,ʏ,coronal,nasal,ccv,punta,pʰʏn̥ta,yes,0,55,55,40,space,5.19118189812,,,2016_Jun_21_1140,None,icelandic,jr06,
39,n̥,decoration,n,cvncv,ʏ,coronal,nasal,ccv,punta,pʰʏn̥ta,yes,0,55,55,40,space,1.88622808456,,,2016_Jun_21_1140,None,icelandic,jr06,
39,n̥,decoration,n,cvncv,ʏ,coronal,nasal,ccv,punta,pʰʏn̥ta,yes,0,55,55,40,space,1.81941795349,,,2016_Jun_21_1140,None,icelandic,jr06,
7,ʰt,far and wide,adv,cvcc,i,coronal,stop,cc,vítt,viʰt,yes,0,56,56,6,space,3.68724393845,,,2016_Jun_21_1140,None,icelandic,jr06,
7,ʰt,far and wide,adv,cvcc,i,coronal,stop,cc,vítt,viʰt,yes,0,56,56,6,space,2.18647098541,,,2016_Jun_21_1140,None,icelandic,jr06,
7,ʰt,far and wide,adv,cvcc,i,coronal,stop,cc,vítt,viʰt,yes,0,56,56,6,space,1.86959409714,,,2016_Jun_21_1140,None,icelandic,jr06,
52,l,foam,v,vvccv,iu,coronal,lateral,ccv,ólga,oulka,no,0,57,57,48,space,3.6705019474,,,2016_Jun_21_1140,None,icelandic,jr06,
52,l,foam,v,vvccv,iu,coronal,lateral,ccv,ólga,oulka,no,0,57,57,48,space,2.20366692543,,,2016_Jun_21_1140,None,icelandic,jr06,
52,l,foam,v,vvccv,iu,coronal,lateral,ccv,ólga,oulka,no,0,57,57,48,space,1.98636412621,,,2016_Jun_21_1140,None,icelandic,jr06,
,,,,,,,,,,,,,,,,,,space,26.7327711582,2016_Jun_21_1140,None,icelandic,jr06,
