"idx","cond_no","cons","eng","pos","syl","vow","place","manner","context","lex","ph","asp","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","date","frameRate","expName","participant"
89,50,"r","scream","n","vrcv","o","coronal","rhotic","ccv","orga","orka","no",0,29,29,48,"space",3.5055840015,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
90,50,"r","scream","n","vrcv","o","coronal","rhotic","ccv","orga","orka","no",0,29,29,48,"space",3.51826787,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
91,44,"nn","cheek","n","cvcc","i","coronal","nasal","cc","kinn","kʰɪnn","no",0,30,30,29,"space",3.5703639984,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
92,44,"nn","cheek","n","cvcc","i","coronal","nasal","cc","kinn","kʰɪnn","no",0,30,30,29,"space",4.3207528591,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
93,44,"nn","cheek","n","cvcc","i","coronal","nasal","cc","kinn","kʰɪnn","no",0,30,30,29,"space",3.6204228401,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
94,36,"m","comb","n","cvncv","a","labial","nasal","ccv","kamba","kʰampa","no",0,31,31,39,"space",6.6218819618,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
95,36,"m","comb","n","cvncv","a","labial","nasal","ccv","kamba","kʰampa","no",0,31,31,39,"space",4.454403162,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
96,36,"m","comb","n","cvncv","a","labial","nasal","ccv","kamba","kʰampa","no",0,31,31,39,"space",3.7864339352,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
97,25,"ʰk","key","n","cvccv","a","velar","stop","ccv","takka","tʰaʰka","yes",0,32,32,34,"space",4.7218477726,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
98,25,"ʰk","key","n","cvccv","a","velar","stop","ccv","takka","tʰaʰka","yes",0,32,32,34,"space",3.4536600113,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
99,25,"ʰk","key","n","cvccv","a","velar","stop","ccv","takka","tʰaʰka","yes",0,32,32,34,"space",4.2041950226,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
100,3,"ʰk","dark","agg","cvcc","œ","velar","stop","cc","dökk","tœʰk","yes",0,33,33,2,"space",3.888228178,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
101,3,"ʰk","dark","agg","cvcc","œ","velar","stop","cc","dökk","tœʰk","yes",0,33,33,2,"space",3.2043530941,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
102,3,"ʰk","dark","agg","cvcc","œ","velar","stop","cc","dökk","tœʰk","yes",0,33,33,2,"space",3.8373529911,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
103,58,"ʰp","cable","n","cvccv","a","labial","stop","ccv","kapli","kaʰpli","yes",0,34,34,56,"space",5.5881099701,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
104,58,"ʰp","cable","n","cvccv","a","labial","stop","ccv","kapli","kaʰpli","yes",0,34,34,56,"space",4.1707000732,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
105,58,"ʰp","cable","n","cvccv","a","labial","stop","ccv","kapli","kaʰpli","yes",0,34,34,56,"space",2.7866139412,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
106,56,"ʰp","munch","v","cvccv","a","labial","stop","ccv","japla","jaʰpla","yes",0,35,35,54,"space",4.3542900085,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
107,56,"ʰp","munch","v","cvccv","a","labial","stop","ccv","japla","jaʰpla","yes",0,35,35,54,"space",4.1205589771,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
108,56,"ʰp","munch","v","cvccv","a","labial","stop","ccv","japla","jaʰpla","yes",0,35,35,54,"space",3.5207910538,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
109,9,"ʰt","thaw","v","cvcc","i","coronal","stop","cc","þítt","θiʰt","yes",0,36,36,8,"space",3.7373859882,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
110,9,"ʰt","thaw","v","cvcc","i","coronal","stop","cc","þítt","θiʰt","yes",0,36,36,8,"space",3.4207541943,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
111,9,"ʰt","thaw","v","cvcc","i","coronal","stop","cc","þítt","θiʰt","yes",0,36,36,8,"space",3.6372549534,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
112,45,"l","complex","agg","cvlc","ʏ","coronal","lateral","cc","duld","tʏlt","no",0,37,37,30,"space",4.7708399296,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
113,45,"l","complex","agg","cvlc","ʏ","coronal","lateral","cc","duld","tʏlt","no",0,37,37,30,"space",3.1535978317,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
114,45,"l","complex","agg","cvlc","ʏ","coronal","lateral","cc","duld","tʏlt","no",0,37,37,30,"space",2.970826149,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
115,14,"tt","sharpen","v","vcc","ɪ","coronal","stop","cc","ydd","ɪtt","no",0,38,38,11,"space",2.9701268673,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
116,14,"tt","sharpen","v","vcc","ɪ","coronal","stop","cc","ydd","ɪtt","no",0,38,38,11,"space",2.4198260307,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
117,14,"tt","sharpen","v","vcc","ɪ","coronal","stop","cc","ydd","ɪtt","no",0,38,38,11,"space",3.9205560684,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
118,6,"pp","block of wood","n","cvcc","ʏ","labial","stop","cc","kubb","kʰʏpp","no",0,39,39,5,"space",4.5718779564,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
119,6,"pp","block of wood","n","cvcc","ʏ","labial","stop","cc","kubb","kʰʏpp","no",0,39,39,5,"space",2.202942133,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
120,6,"pp","block of wood","n","cvcc","ʏ","labial","stop","cc","kubb","kʰʏpp","no",0,39,39,5,"space",4.1707859039,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
121,20,"ʰt","put","v","cvcc","e","coronal","stop","cc","sett","seʰt","yes",0,40,40,17,"space",4.320991993,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
122,20,"ʰt","put","v","cvcc","e","coronal","stop","cc","sett","seʰt","yes",0,40,40,17,"space",2.5864739418,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
123,20,"ʰt","put","v","cvcc","e","coronal","stop","cc","sett","seʰt","yes",0,40,40,17,"space",3.4037809372,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
124,17,"s","sweet","adj","cvvcc","ai","coronal","stop","cc","sæts","saiss","no",0,41,41,14,"space",5.4553599358,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
125,17,"s","sweet","adj","cvvcc","ai","coronal","stop","cc","sæts","saiss","no",0,41,41,14,"space",3.086950779,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
126,17,"s","sweet","adj","cvvcc","ai","coronal","stop","cc","sæts","saiss","no",0,41,41,14,"space",3.6880061626,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
127,31,"n̥","decoration","n","cvnc","ʏ","coronal","nasal","cc","punt","pʰʏn̥t","yes",0,42,42,24,"space",4.8876419067,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
128,31,"n̥","decoration","n","cvnc","ʏ","coronal","nasal","cc","punt","pʰʏn̥t","yes",0,42,42,24,"space",2.7209482193,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
129,31,"n̥","decoration","n","cvnc","ʏ","coronal","nasal","cc","punt","pʰʏn̥t","yes",0,42,42,24,"space",2.9033868313,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
130,59,"p","play chess","v","cvccv","e","labial","stop","ccv","tefla","tepla","no",0,43,43,57,"space",5.0210268498,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
131,59,"p","play chess","v","cvccv","e","labial","stop","ccv","tefla","tepla","no",0,43,43,57,"space",2.5533149242,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
132,59,"p","play chess","v","cvccv","e","labial","stop","ccv","tefla","tepla","no",0,43,43,57,"space",4.3547480106,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
133,35,"m̥","moustache","n","cvncv","a","labial","nasal","ccv","kampa","kʰam̥pa","yes",0,44,44,38,"space",7.6734120846,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
134,35,"m̥","moustache","n","cvncv","a","labial","nasal","ccv","kampa","kʰam̥pa","yes",0,44,44,38,"space",3.1212980747,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
135,35,"m̥","moustache","n","cvncv","a","labial","nasal","ccv","kampa","kʰam̥pa","yes",0,44,44,38,"space",2.9367089272,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
136,18,"ʰt","sweet","adj","cvvcc","ai","coronal","stop","cc","sætt","saiʰt","yes",0,45,45,15,"space",5.1378879547,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
137,18,"ʰt","sweet","adj","cvvcc","ai","coronal","stop","cc","sætt","saiʰt","yes",0,45,45,15,"space",2.0847909451,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
138,18,"ʰt","sweet","adj","cvvcc","ai","coronal","stop","cc","sætt","saiʰt","yes",0,45,45,15,"space",3.2869369984,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
139,22,"ʰt","fat","adj","cvvcc","ei","coronal","stop","cc","feitt","feiʰt","yes",0,46,46,19,"space",3.753743887,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
140,22,"ʰt","fat","adj","cvvcc","ei","coronal","stop","cc","feitt","feiʰt","yes",0,46,46,19,"space",2.7351181507,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
141,22,"ʰt","fat","adj","cvvcc","ei","coronal","stop","cc","feitt","feiʰt","yes",0,46,46,19,"space",2.2696559429,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
