"idx","cond_no","cons","eng","pos","syl","vow","place","manner","context","lex","ph","asp","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","date","frameRate","expName","participant"
105,48,"l","castrate","v","cvlcv","e","coronal","lateral","ccv","gelda","kelta","no",0,34,34,44,"space",1.8846838474,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
106,27,"ʰt","fall","v","cvccv","e","coronal","stop","ccv","detta","teʰta","yes",0,35,35,34,"space",1.8859388828,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
107,27,"ʰt","fall","v","cvccv","e","coronal","stop","ccv","detta","teʰta","yes",0,35,35,34,"space",1.8016781807,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
108,27,"ʰt","fall","v","cvccv","e","coronal","stop","ccv","detta","teʰta","yes",0,35,35,34,"space",1.886095047,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
109,8,"tt","width","n","cvcc","i","coronal","stop","cc","vídd","vitt","no",0,36,36,7,"space",2.0207250118,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
110,8,"tt","width","n","cvcc","i","coronal","stop","cc","vídd","vitt","no",0,36,36,7,"space",1.7205369473,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
111,8,"tt","width","n","cvcc","i","coronal","stop","cc","vídd","vitt","no",0,36,36,7,"space",2.0867609978,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
112,5,"ʰp","chamber pot","n","cvcc","o","labial","stop","cc","kopp","kʰoʰp","yes",0,37,37,4,"space",1.8528320789,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
113,5,"ʰp","chamber pot","n","cvcc","o","labial","stop","cc","kopp","kʰoʰp","yes",0,37,37,4,"space",1.4866909981,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
114,5,"ʰp","chamber pot","n","cvcc","o","labial","stop","cc","kopp","kʰoʰp","yes",0,37,37,4,"space",1.7693538666,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
115,58,"ʰp","cable","n","cvccv","a","labial","stop","ccv","kapli","kaʰplɪ","yes",0,38,38,54,"space",1.7852501869,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
116,58,"ʰp","cable","n","cvccv","a","labial","stop","ccv","kapli","kaʰplɪ","yes",0,38,38,54,"space",1.6028010845,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
117,58,"ʰp","cable","n","cvccv","a","labial","stop","ccv","kapli","kaʰplɪ","yes",0,38,38,54,"space",1.8194899559,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
118,40,"n","pound","n","cvncv","ʏ","coronal","nasal","ccv","punda","pʰʏnta","no",0,39,39,41,"space",2.0030670166,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
119,40,"n","pound","n","cvncv","ʏ","coronal","nasal","ccv","punda","pʰʏnta","no",0,39,39,41,"space",1.7028310299,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
120,40,"n","pound","n","cvncv","ʏ","coronal","nasal","ccv","punda","pʰʏnta","no",0,39,39,41,"space",1.5860850811,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
121,35,"m̥","moustache","n","cvncv","a","labial","nasal","ccv","kampa","kʰam̥pa","yes",0,40,40,36,"space",1.9195461273,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
122,35,"m̥","moustache","n","cvncv","a","labial","nasal","ccv","kampa","kʰam̥pa","yes",0,40,40,36,"space",1.752794981,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
123,35,"m̥","moustache","n","cvncv","a","labial","nasal","ccv","kampa","kʰam̥pa","yes",0,40,40,36,"space",1.569617033,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
124,1,"ʰk","cook","n","cvcc","o","velar","stop","cc","kokk","kʰoʰk","yes",0,41,41,0,"space",2.0529508591,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
125,1,"ʰk","cook","n","cvcc","o","velar","stop","cc","kokk","kʰoʰk","yes",0,41,41,0,"space",1.569311142,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
126,1,"ʰk","cook","n","cvcc","o","velar","stop","cc","kokk","kʰoʰk","yes",0,41,41,0,"space",1.8195641041,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
127,34,"m","comb","v","cvccv","e","labial","nasal","cc","kembdi","kemtɪ","no",0,42,42,25,"space",2.0354700089,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
128,34,"m","comb","v","cvccv","e","labial","nasal","cc","kembdi","kemtɪ","no",0,42,42,25,"space",2.1030399799,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
129,34,"m","comb","v","cvccv","e","labial","nasal","cc","kembdi","kemtɪ","no",0,42,42,25,"space",1.5201728344,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
130,41,"n̥","want","v","cvccv","a","coronal","nasal","ccv","vanta","van̥ta","yes",0,43,43,42,"space",1.752933979,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
131,41,"n̥","want","v","cvccv","a","coronal","nasal","ccv","vanta","van̥ta","yes",0,43,43,42,"space",2.1207489967,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
132,41,"n̥","want","v","cvccv","a","coronal","nasal","ccv","vanta","van̥ta","yes",0,43,43,42,"space",1.7369821072,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
133,53,"p","avenge","v","cvccv","e","labial","stop","ccv","hefna","hepna","no",0,44,44,49,"space",2.1202580929,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
134,53,"p","avenge","v","cvccv","e","labial","stop","ccv","hefna","hepna","no",0,44,44,49,"space",2.3181650639,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
135,53,"p","avenge","v","cvccv","e","labial","stop","ccv","hefna","hepna","no",0,44,44,49,"space",1.685022831,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
136,49,"r̥","energy","n","vrcv","o","coronal","rhotic","ccv","orka","or̥ka","yes",0,45,45,45,"space",2.1032891274,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
137,49,"r̥","energy","n","vrcv","o","coronal","rhotic","ccv","orka","or̥ka","yes",0,45,45,45,"space",1.7195291519,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
138,49,"r̥","energy","n","vrcv","o","coronal","rhotic","ccv","orka","or̥ka","yes",0,45,45,45,"space",1.953083992,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
139,44,"nn","cheek","n","cvcc","i","coronal","nasal","cc","kinn","kʰɪnn","no",0,46,46,27,"space",2.0873000622,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
